domain,question,answer,label
Technical,"Explain polymorphism.","Not sure.",0
Technical,"What is a database index?","An index improves query performance by allowing faster data retrieval.",2
Technical,"What is a database index?","It helps searching.",1
Technical,"What is a database index?","No idea.",0
Technical,"Explain REST API.","REST is an architectural style using HTTP methods like GET and POST for communication.",2
Technical,"Explain REST API.","It is used for APIs.",1
Technical,"Explain REST API.","Something in backend.",0
Technical,"What is normalization?","Normalization organizes database tables to reduce redundancy.",2
Technical,"What is normalization?","It removes duplicates.",1
Technical,"What is normalization?","Not sure.",0
Technical,"What is multithreading?","Multithreading allows concurrent execution of multiple threads in a program.",2
Technical,"What is multithreading?","Running many tasks.",1
Technical,"What is multithreading?","I do not know.",0
Technical,"What is machine learning?","Machine learning enables systems to learn patterns from data and make predictions.",2
Technical,"What is machine learning?","It is AI training.",1
Technical,"What is machine learning?","Robots.",0
Technical,"Explain TCP vs UDP.","TCP is connection oriented and reliable while UDP is faster but connectionless.",2
Technical,"Explain TCP vs UDP.","TCP is safe and UDP fast.",1
Technical,"Explain TCP vs UDP.","Both are internet.",0
Technical,"What is Git?","Git is a distributed version control system used to track code changes.",2
Technical,"What is Git?","It tracks code.",1
Technical,"What is Git?","Software.",0
Technical,"Explain cloud computing.","Cloud computing provides on demand computing resources over the internet.",2
Technical,"Explain cloud computing.","It is online storage.",1
Technical,"Explain cloud computing.","Internet.",0
Technical,"What is a stack?","Stack is a LIFO data structure.",2
Technical,"What is a stack?","It stores data.",1
Technical,"What is a stack?","Memory.",0
Technical,"What is an API?","API allows communication between different software systems.",2
Technical,"What is an API?","It connects apps.",1
Technical,"What is an API?","Code.",0
Behavioral,"Describe a time you led a team.","I coordinated tasks resolved conflicts and ensured timely delivery of our project.",2
Behavioral,"Describe a time you led a team.","I was team leader once.",1
Behavioral,"Describe a time you led a team.","Never.",0
Behavioral,"How do you resolve conflicts?","I listen to both sides and find a balanced solution.",2
Behavioral,"How do you resolve conflicts?","I talk to people.",1
Behavioral,"How do you resolve conflicts?","Ignore them.",0
Behavioral,"Describe a failure.","I missed a deadline once but improved my planning system afterwards.",2
Behavioral,"Describe a failure.","I failed in exam once.",1
Behavioral,"Describe a failure.","None.",0
Behavioral,"How do you prioritize tasks?","I categorize tasks by urgency and importance.",2
Behavioral,"How do you prioritize tasks?","I do important tasks first.",1
Behavioral,"How do you prioritize tasks?","Random.",0
Behavioral,"Give an example of teamwork.","I collaborated with peers using Agile methodology to complete a software module successfully.",2
Behavioral,"Give an example of teamwork.","Worked with friends.",1
Behavioral,"Give an example of teamwork.","No idea.",0
Behavioral,"How do you handle criticism?","I take feedback constructively and improve accordingly.",2
Behavioral,"How do you handle criticism?","I listen.",1
Behavioral,"How do you handle criticism?","I get angry.",0
Behavioral,"Describe decision making.","I analyze data consider risks and choose optimal solutions.",2
Behavioral,"Describe decision making.","I think and decide.",1
Behavioral,"Describe decision making.","Just guess.",0
Behavioral,"How do you adapt to change?","I stay flexible and learn new tools quickly.",2
Behavioral,"How do you adapt to change?","I try.",1
Behavioral,"How do you adapt to change?","I resist.",0
Behavioral,"Describe time management.","I use planning tools and deadlines to manage time effectively.",2
Behavioral,"Describe time management.","I make schedule.",1
Behavioral,"Describe time management.","Not sure.",0
Behavioral,"Describe working under pressure.","I stay calm and focus on delivering quality results.",2
Behavioral,"Describe working under pressure.","I try hard.",1
Behavioral,"Describe working under pressure.","Very stressed.",0
HR,Tell me about yourself.,"I am a software engineer with 4 years of experience specializing in backend development with Python and Django. In my previous role at TechCorp, I led the migration of our monolithic architecture to microservices, which improved system scalability by 40%. I am passionate about cloud computing and am looking for a role where I can solve complex architectural challenges.",2
HR,Tell me about yourself.,"I grew up in Ohio and went to college for computer science. I've been working for a few years now and I like coding. In my free time, I play video games.",1
HR,Tell me about yourself.,"I need a job because my rent is due.",0
Technical,What is the difference between a list and a tuple in Python?,"The primary difference is that lists are mutable, meaning they can be modified after creation, while tuples are immutable. Lists use square brackets while tuples use parentheses. Generally, lists are used for homogenous collections of data, whereas tuples are often used for heterogeneous data structures.",2
Technical,What is the difference between a list and a tuple in Python?,"Lists can be changed but tuples cannot be changed.",1
Technical,What is the difference between a list and a tuple in Python?,"They are basically the same thing but one is faster.",0
Behavioral,Describe a time you had a conflict with a coworker.,"In my last project, a designer and I disagreed on the user interface for a new feature. I set up a meeting to discuss our viewpoints, where I explained the technical constraints and he explained the user experience goals. We compromised by adjusting the backend logic to accommodate a simplified version of his design, which satisfied both the technical and UX requirements.",2
Behavioral,Describe a time you had a conflict with a coworker.,"I had an argument with a teammate about code style. We just decided to follow the style guide eventually.",1
Behavioral,Describe a time you had a conflict with a coworker.,"I usually just ignore people if they are being annoying so we don't fight.",0
Technical,Explain the concept of Overfitting in Machine Learning.,"Overfitting occurs when a model learns the training data too well, capturing noise and fluctuations rather than the underlying pattern. This results in high accuracy on training data but poor performance on unseen test data. It can be mitigated using techniques like regularization, cross-validation, or pruning.",2
Technical,Explain the concept of Overfitting in Machine Learning.,"Overfitting is when the model is too complex and memorizes the data.",1
Technical,Explain the concept of Overfitting in Machine Learning.,"It means the computer is working too hard and gets hot.",0
HR,Why do you want to work for this company?,"I've been following your company's work in renewable energy solutions for years. Your recent project on grid optimization aligns perfectly with my background in data science and my passion for sustainability. I want to contribute to a team that is making a tangible impact on the environment.",2
HR,Why do you want to work for this company?,"It seems like a good place to work and the reviews on Glassdoor were okay.",1
HR,Why do you want to work for this company?,"I heard you pay well.",0
Technical,What is a Primary Key in SQL?,"A Primary Key is a unique identifier for a record in a database table. It ensures that no two rows have the same value in that column and it cannot contain NULL values. It is essential for establishing relationships between tables via Foreign Keys.",2
Technical,What is a Primary Key in SQL?,"It is the main column in a table that identifies the row.",1
Technical,What is a Primary Key in SQL?,"It is the key used to unlock the database.",0
Behavioral,Tell me about a time you failed.,"I was leading a sprint and underestimated the complexity of a third-party API integration. We missed the deadline by two days. I took responsibility, conducted a retrospective to identify where the estimation went wrong, and implemented a buffer time for external dependencies in future sprints. We haven't missed a deadline since.",2
Behavioral,Tell me about a time you failed.,"I missed a deadline once because I had too much work. I apologized and finished it later.",1
Behavioral,Tell me about a time you failed.,"I don't really fail at things often.",0
Technical,What is Polymorphism in Object-Oriented Programming?,"Polymorphism allows objects of different classes to be treated as objects of a common superclass. It enables a single interface to represent different underlying forms (data types). For example, a function 'draw()' can work differently for a 'Circle' object versus a 'Square' object.",2
Technical,What is Polymorphism in Object-Oriented Programming?,"It means having many forms. It lets you use the same method name for different things.",1
Technical,What is Polymorphism in Object-Oriented Programming?,"It is when code changes its shape automatically.",0
HR,What is your greatest weakness?,"I sometimes struggle with delegating tasks because I want to ensure everything is done perfectly. However, I've been using project management tools like Jira to assign tasks and trust my team more. This has allowed me to focus on high-level strategy while empowering my team members.",2
HR,What is your greatest weakness?,"I work too hard and care too much about my job.",1
HR,What is your greatest weakness?,"I am always late to meetings.",0
Technical,Explain the difference between TCP and UDP.,"TCP (Transmission Control Protocol) is connection-oriented and ensures reliable delivery of packets with error-checking and ordering. UDP (User Datagram Protocol) is connectionless and faster but does not guarantee delivery or order. TCP is used for web browsing, while UDP is used for streaming and gaming.",2
Technical,Explain the difference between TCP and UDP.,"TCP is slower but safer, and UDP is faster but loses data sometimes.",1
Technical,Explain the difference between TCP and UDP.,"TCP is for internet and UDP is for local networks.",0
Behavioral,Give an example of how you prioritized work under pressure.,"During a product launch, we found a critical bug just hours before go-live. I prioritized fixing the bug over minor UI tweaks. I communicated the situation to stakeholders, delegated the fix to our senior dev, and handled the testing myself. We launched on time with a stable product, deploying the UI tweaks the next day.",2
Behavioral,Give an example of how you prioritized work under pressure.,"I just made a list of things to do and did the most important ones first.",1
Behavioral,Give an example of how you prioritized work under pressure.,"I panicked a bit but then I just worked really fast.",0
Technical,What is a pointer in C++?,"A pointer is a variable that stores the memory address of another variable. They are used for dynamic memory allocation, array manipulation, and passing large structures to functions efficiently to avoid copying data.",2
Technical,What is a pointer in C++?,"It points to a location in memory where data is saved.",1
Technical,What is a pointer in C++?,"It is the cursor on the screen.",0
HR,Where do you see yourself in 5 years?,"I aim to grow into a Senior Technical Lead role. I want to deepen my expertise in cloud architecture and mentor junior developers. I see myself leading major projects that drive efficiency for the company, similar to the roadmap you mentioned earlier.",2
HR,Where do you see yourself in 5 years?,"I hope to be in a higher position with a better salary.",1
HR,Where do you see yourself in 5 years?,"Hopefully retired on a beach somewhere.",0
Technical,What is React.js?,"React is a JavaScript library for building user interfaces, primarily for single-page applications. It allows developers to create reusable UI components and manages the state of the application efficiently using a virtual DOM to optimize rendering performance.",2
Technical,What is React.js?,"It is a framework for making websites look good using JavaScript.",1
Technical,What is React.js?,"It is a programming language for backend databases.",0
Behavioral,Describe a time you showed leadership.,"When our team lead fell ill during a critical week, I stepped up to facilitate the daily stand-ups and coordinated with the product manager to keep the backlog moving. I ensured roadblocks were removed for the junior devs. We successfully delivered the sprint goals despite the absence of our lead.",2
Behavioral,Describe a time you showed leadership.,"I helped a new hire set up their computer and explained how the code works.",1
Behavioral,Describe a time you showed leadership.,"I told everyone what to do when the boss wasn't looking.",0
Technical,What is a Docker container?,"A Docker container is a lightweight, standalone, executable package of software that includes everything needed to run an application: code, runtime, system tools, libraries, and settings. It ensures consistency across different computing environments.",2
Technical,What is a Docker container?,"It is like a virtual machine but smaller and faster.",1
Technical,What is a Docker container?,"It is a box where you store your code files.",0
HR,What are your salary expectations?,"Based on my research of the market rates for this role and my 5 years of experience, I am looking for a base salary between $90,000 and $100,000, though I am flexible depending on the full benefits package.",2
HR,What are your salary expectations?,"I am looking for around $90k.",1
HR,What are your salary expectations?,"I want a million dollars.",0
Technical,Explain the concept of recursion.,"Recursion is a programming technique where a function calls itself to solve a problem. It typically involves a base case to stop the execution and a recursive step to break the problem down into smaller sub-problems. It's commonly used for tree traversals and sorting algorithms like Merge Sort.",2
Technical,Explain the concept of recursion.,"Recursion is when a function calls itself until it stops.",1
Technical,Explain the concept of recursion.,"It is when you make a loop that goes on forever.",0
Behavioral,How do you handle constructive criticism?,"I view criticism as an opportunity to improve. For instance, my manager once noted my code lacked comments. I didn't take it personally; instead, I researched documentation best practices and implemented a new standard for my future code, which the team eventually adopted.",2
Behavioral,How do you handle constructive criticism?,"I listen to it and try to do better next time.",1
Behavioral,How do you handle constructive criticism?,"I don't like it when people judge my work.",0
Technical,What is the purpose of Git?,"Git is a distributed version control system that tracks changes in source code during software development. It allows multiple developers to collaborate on the same project, manage branches for new features, and revert to previous versions if errors occur.",2
Technical,What is the purpose of Git?,"It saves your code so you don't lose it.",1
Technical,What is the purpose of Git?,"It is a website where you download code.",0
HR,How did you hear about this position?,"I saw the posting on LinkedIn and was immediately interested because I've used your software products for years. I also reached out to a former colleague who works here, and they spoke very highly of the engineering culture.",2
HR,How did you hear about this position?,"I found it on a job board.",1
HR,How did you hear about this position?,"My mom told me to apply.",0
Technical,What is the difference between inner join and left join?,"An Inner Join returns only the rows where there is a match in both tables. A Left Join returns all rows from the left table and the matched rows from the right table; if there is no match, the result is NULL on the right side.",2
Technical,What is the difference between inner join and left join?,"Inner join combines matches, left join takes everything from the first table.",1
Technical,What is the difference between inner join and left join?,"One joins the inside and one joins the left side of the data.",0
Behavioral,Describe a time you had to learn something quickly.,"I was assigned a project using Go, a language I hadn't used before. I spent the weekend going through the official documentation and building a small practice app. By Monday, I was able to contribute to the codebase and within two weeks I was pushing production-ready code.",2
Behavioral,Describe a time you had to learn something quickly.,"I had to learn a new tool for work. I watched a few videos and figured it out.",1
Behavioral,Describe a time you had to learn something quickly.,"I learn things fast all the time.",0
Technical,What is Dependency Injection?,"Dependency Injection is a design pattern used to implement IoC (Inversion of Control). It allows a class to receive its dependencies from an external source rather than creating them itself. This makes the code more modular, easier to test, and loosely coupled.",2
Technical,What is Dependency Injection?,"It is when you pass objects into a class instead of making them inside.",1
Technical,What is Dependency Injection?,"It is injecting code into a website.",0
HR,Why are you leaving your current job?,"I have learned a lot at my current role, but I feel I have reached a plateau in terms of technical challenges. I am looking for a position that offers more exposure to machine learning applications, which is a core focus of your company.",2
HR,Why are you leaving your current job?,"I want a change of scenery and a better commute.",1
HR,Why are you leaving your current job?,"My boss is annoying.",0
Technical,What is an interface in Java?,"An interface in Java is a reference type, similar to a class, that can contain only constants, method signatures, default methods, static methods, and nested types. It provides a way to achieve abstraction and multiple inheritance.",2
Technical,What is an interface in Java?,"It is a class that has no body for its methods.",1
Technical,What is an interface in Java?,"It is the screen the user sees.",0
Behavioral,Tell me about a time you made a mistake.,"I once deployed a hotfix directly to production without running the full regression suite, causing a minor outage. I immediately rolled back the change. Afterward, I implemented a strict CI/CD pipeline rule that prevents deployment without passing all tests, ensuring it wouldn't happen again.",2
Behavioral,Tell me about a time you made a mistake.,"I deleted a file by accident but I got it back from the backup.",1
Behavioral,Tell me about a time you made a mistake.,"I don't remember making any big mistakes.",0
Technical,What is the difference between HTTP and HTTPS?,"HTTPS is the secure version of HTTP. It uses SSL/TLS to encrypt the data transferred between the client and server, ensuring confidentiality and data integrity, whereas HTTP sends data in plaintext.",2
Technical,What is the difference between HTTP and HTTPS?,"HTTPS is secure and has an S at the end.",1
Technical,What is the difference between HTTP and HTTPS?,"HTTPS is faster than HTTP.",0
HR,What motivates you?,"I am motivated by solving difficult logic puzzles and seeing my code used in the real world. In my last job, seeing customer feedback improve after I optimized the search algorithm was incredibly satisfying.",2
HR,What motivates you?,"I like getting tasks done and crossing them off my list.",1
HR,What motivates you?,"Money and weekends.",0
Technical,What is a normalization in databases?,"Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity. It involves dividing large tables into smaller, related tables and defining relationships between them, typically following forms like 1NF, 2NF, and 3NF.",2
Technical,What is a normalization in databases?,"It means cleaning up the database so there are no duplicates.",1
Technical,What is a normalization in databases?,"It is making the data look normal.",0
Behavioral,How do you handle tight deadlines?,"I start by breaking the project down into smaller tasks and estimating the time for each. If it looks unachievable, I communicate early with stakeholders to either reduce scope or add resources. I then focus on the MVP (Minimum Viable Product) to ensure the core value is delivered on time.",2
Behavioral,How do you handle tight deadlines?,"I work late nights to get it done.",1
Behavioral,How do you handle tight deadlines?,"I just work faster.",0
Technical,What is the difference between abstract class and interface?,"An abstract class can have method implementations (state) and constructors, while an interface (pre-Java 8) only has abstract methods. A class can extend only one abstract class but can implement multiple interfaces.",2
Technical,What is the difference between abstract class and interface?,"Abstract classes are for parents and interfaces are for actions.",1
Technical,What is the difference between abstract class and interface?,"They are the same thing.",0
HR,What are your strengths?,"My greatest strength is my problem-solving ability combined with patience. I enjoy debugging complex legacy code that others avoid. Additionally, I am a strong communicator and can translate technical concepts for non-technical stakeholders effectively.",2
HR,What are your strengths?,"I am a hard worker and a quick learner.",1
HR,What are your strengths?,"I am the best coder I know.",0
Technical,What is a deadlock in OS?,"A deadlock is a situation in an operating system where a set of processes are blocked because each process is holding a resource and waiting for another resource acquired by some other process. It creates a cycle of dependencies that prevents any process from proceeding.",2
Technical,What is a deadlock in OS?,"It is when the computer freezes and you have to restart it.",1
Technical,What is a deadlock in OS?,"It is when the lock screen gets stuck.",0
Behavioral,Describe a time you went above and beyond.,"A client called late on a Friday with a critical issue. Although I was about to leave, I stayed to troubleshoot. I identified the root cause, fixed it, and documented the solution for the support team. The client sent a thank you note to my manager the next week.",2
Behavioral,Describe a time you went above and beyond.,"I stayed late once to finish a report.",1
Behavioral,Describe a time you went above and beyond.,"I did my job exactly as described.",0
Technical,What is MVC architecture?,"MVC stands for Model-View-Controller. It is a design pattern that separates an application into three components: The Model manages data and logic, the View handles the display/UI, and the Controller processes user input and updates the Model and View.",2
Technical,What is MVC architecture?,"It stands for Model View Controller and it separates code.",1
Technical,What is MVC architecture?,"It is a way to organize files on your computer.",0
HR,Do you have any questions for us?,"Yes, I noticed you are expanding into the Asian market. How does the engineering team plan to handle the localization and internalization challenges for the product? Also, what does success look like for this role in the first 90 days?",2
HR,Do you have any questions for us?,"What are the working hours?",1
HR,Do you have any questions for us?,"No, I'm good.",0
Technical,What is the usage of 'static' keyword in Java?,"The 'static' keyword indicates that a member (variable or method) belongs to the type itself, rather than to an instance of that type. This means only one instance of a static field exists, shared across all objects of the class.",2
Technical,What is the usage of 'static' keyword in Java?,"It means the variable cannot be changed.",1
Technical,What is the usage of 'static' keyword in Java?,"It makes the code static and unmoving.",0
Behavioral,How do you handle a difficult client?,"I listen actively to understand their frustration without interrupting. I acknowledge their pain points to validate their feelings, then shift to a solution-oriented approach. For example, when a client was angry about a delay, I explained the technical reason clearly and offered a discounted service for the next month, which retained the account.",2
Behavioral,How do you handle a difficult client?,"I try to be polite and answer their questions.",1
Behavioral,How do you handle a difficult client?,"I tell them it's not my fault.",0
Technical,What is Big O Notation?,"Big O Notation is a mathematical concept used in computer science to describe the performance or complexity of an algorithm. It specifically describes the worst-case scenario of execution time or space required relative to the input size (n).",2
Technical,What is Big O Notation?,"It measures how fast a program runs.",1
Technical,What is Big O Notation?,"It is the letter O used in coding.",0
HR,What is your ideal work environment?,"I thrive in a collaborative environment where open communication is encouraged. I prefer a mix of deep-focus time for coding and team brainstorming sessions for architecture planning. I also value a culture that prioritizes continuous learning.",2
HR,What is your ideal work environment?,"I like a quiet office with free coffee.",1
HR,What is your ideal work environment?,"Somewhere I can sleep.",0
Technical,What is the difference between GET and POST?,"GET is used to request data from a specified resource, and parameters are included in the URL string. POST is used to send data to a server to create/update a resource, and data is enclosed in the request body. POST is more secure for sensitive data.",2
Technical,What is the difference between GET and POST?,"GET gets data and POST posts data.",1
Technical,What is the difference between GET and POST?,"GET is for email and POST is for mail.",0
Behavioral,Tell me about a time you disagreed with your boss.,"My boss wanted to release a feature that I knew had security vulnerabilities. I privately presented him with a risk assessment report showing the potential data breach impact. He agreed to delay the launch by a week so we could patch the holes.",2
Behavioral,Tell me about a time you disagreed with your boss.,"I told my boss I didn't want to do a task, but I did it anyway.",1
Behavioral,Tell me about a time you disagreed with your boss.,"I told him he was wrong in front of everyone.",0
Technical,What is a Constructor?,"A constructor is a special method of a class or structure in object-oriented programming that initializes an object of that type. It sets the initial values for the object's member variables and is called automatically when an object is created.",2
Technical,What is a Constructor?,"It builds the code.",1
Technical,What is a Constructor?,"It is a construction worker.",0
HR,How do you handle stress?,"I handle stress by staying organized. I use Trello to track my tasks so I don't feel overwhelmed. I also make sure to take short breaks to step away from the screen, which helps me return to the problem with a fresh perspective.",2
HR,How do you handle stress?,"I just push through it.",1
HR,How do you handle stress?,"I scream into a pillow.",0
Technical,What is the purpose of an index in a database?,"An index is a data structure that improves the speed of data retrieval operations on a database table at the cost of additional writes and storage space. It works like an index in a book, allowing the database to find data without scanning every row.",2
Technical,What is the purpose of an index in a database?,"It sorts the data alphabetically.",1
Technical,What is the purpose of an index in a database?,"It is the list of contents.",0
Behavioral,What do you do when you don't know the answer to a problem?,"I first try to research the solution using documentation and StackOverflow. If I'm still stuck after a set timebox (e.g., 1 hour), I reach out to a colleague with a summary of what I've tried so far. This ensures I'm respectful of their time while still getting the help I need.",2
Behavioral,What do you do when you don't know the answer to a problem?,"I ask someone for help immediately.",1
Behavioral,What do you do when you don't know the answer to a problem?,"I guess.",0
Technical,What is a thread?,"A thread is the smallest sequence of programmed instructions that can be managed independently by a scheduler. Multiple threads can exist within the same process, sharing the process's resources but executing independently.",2
Technical,What is a thread?,"It is a part of a program that runs.",1
Technical,What is a thread?,"It is used to sew clothes.",0
HR,What are your hobbies?,"I enjoy hiking and landscape photography, which helps me disconnect and recharge. I also contribute to an open-source library for image processing, which keeps my coding skills sharp even in my downtime.",2
HR,What are your hobbies?,"I like watching movies and reading.",1
HR,What are your hobbies?,"Sleeping.",0
Technical,What is ACID properties in Database?,"ACID stands for Atomicity, Consistency, Isolation, and Durability. These are a set of properties of database transactions intended to guarantee data validity despite errors, power failures, or other mishaps.",2
Technical,What is ACID properties in Database?,"It stands for Atomicity and Consistency.",1
Technical,What is ACID properties in Database?,"It is a type of chemical.",0
Behavioral,Describe a time you persuaded someone.,"We were choosing between AWS and Azure for a project. My team favored AWS due to familiarity, but I argued for Azure because of its better integration with our existing .NET stack. I created a cost-benefit analysis and a prototype. After seeing the data, the team agreed to switch to Azure.",2
Behavioral,Describe a time you persuaded someone.,"I convinced my coworker to use my idea.",1
Behavioral,Describe a time you persuaded someone.,"I forced them to listen to me.",0
Technical,What is garbage collection in Java?,"Garbage collection is the process of automatically managing memory. The JVM identifies objects that are no longer in use (referenced) by the program and deletes them to free up memory resources, preventing memory leaks.",2
Technical,What is garbage collection in Java?,"It deletes bad code.",1
Technical,What is garbage collection in Java?,"It takes out the trash.",0
HR,What accomplishment are you most proud of?,"I am most proud of building a patient portal for a local clinic. It reduced their appointment scheduling time by 50% and received positive feedback from elderly patients for its accessibility. Seeing my code improve people's access to healthcare was very rewarding.",2
HR,What accomplishment are you most proud of?,"I graduated college with good grades.",1
HR,What accomplishment are you most proud of?,"I beat a video game on hard mode.",0
Technical,What is a Lambda function?,"A Lambda function is a small, anonymous function defined without a name. In Python, it is defined using the 'lambda' keyword and can take any number of arguments but can only have one expression. It is often used for short, throwaway functions inside arguments like map() or filter().",2
Technical,What is a Lambda function?,"It is a short function in Python.",1
Technical,What is a Lambda function?,"It is a Greek letter.",0
Behavioral,Tell me about a time you worked with a difficult team member.,"I worked with a developer who often delayed his commits. Instead of confronting him publicly, I asked him for a 1:1 coffee chat. I learned he was struggling with the new framework. I offered to pair program with him for a few days, which helped him get up to speed and improved our team velocity.",2
Behavioral,Tell me about a time you worked with a difficult team member.,"I had a lazy teammate so I did his work for him.",1
Behavioral,Tell me about a time you worked with a difficult team member.,"I told the manager to fire him.",0
Technical,What is inheritance?,"Inheritance is a mechanism in OOP where a new class (subclass) derives properties and behaviors (methods) from an existing class (superclass). It promotes code reusability and establishes a relationship between classes.",2
Technical,What is inheritance?,"It is when a class gets things from another class.",1
Technical,What is inheritance?,"It is getting money from parents.",0
HR,How do you keep your technical skills current?,"I subscribe to several tech newsletters like Hacker News and follow industry leaders on Twitter. I also complete one course on Coursera every quarter; currently, I am taking a course on Advanced Kubernetes.",2
HR,How do you keep your technical skills current?,"I read articles sometimes.",1
HR,What is your experience with Agile?,"I have worked in Agile environments for 3 years, specifically Scrum. I am comfortable with daily stand-ups, two-week sprints, sprint planning, and retrospectives. I find it effective for adapting to changing requirements.",2
Technical,What is the difference between == and .equals() in Java?,"The '==' operator compares the memory addresses (reference equality) of two objects, whereas the .equals() method compares the actual content (value equality) of the objects.",2
Technical,What is the difference between == and .equals() in Java?,"One is an operator and one is a method.",1
Technical,What is the difference between == and .equals() in Java?,"They are the same.",0
Behavioral,Give an example of a goal you reached and how you achieved it.,"My goal was to become an AWS Certified Solutions Architect. I created a 3-month study plan, dedicating 2 hours every morning before work. I built three practice projects to apply the concepts. I passed the exam on my first attempt last month.",2
Behavioral,Give an example of a goal you reached and how you achieved it.,"I wanted to learn SQL so I studied it and now I know it.",1
Behavioral,Give an example of a goal you reached and how you achieved it.,"I wanted to finish work early so I did.",0
Technical,What is CSS specificity?,"CSS specificity is the set of rules that determines which style is applied to an element when multiple rules could apply. It is calculated based on a hierarchy: inline styles, IDs, classes/attributes, and elements. The rule with the highest specificity score wins.",2
Technical,What is CSS specificity?,"It decides which color shows up.",1
Technical,What is CSS specificity?,"It is how specific the code is.",0
HR,What makes you unique?,"My unique combination of design background and backend engineering allows me to bridge the gap between UI/UX designers and server-side developers. I can write efficient APIs while understanding exactly how the frontend consumes them.",2
HR,What makes you unique?,"I am a very hard worker.",1
HR,What makes you unique?,"I am normal.",0
Technical,What is the CAP theorem?,"The CAP theorem states that a distributed data store can only provide two of the following three guarantees: Consistency (every read receives the most recent write), Availability (every request receives a response), and Partition tolerance (system continues to operate despite network failures).",2
Technical,What is the CAP theorem?,"It is about databases.",1
Technical,What is the CAP theorem?,"It is a law about hats.",0
Behavioral,Describe a situation where you had to adapt to a significant change.,"Our company switched from Waterfall to Agile in the middle of a project. It was chaotic initially. I took the initiative to read up on Scrum best practices and organized a workshop for my team to explain the new workflow. This reduced the friction and helped us transition smoothly within two sprints.",2
Behavioral,Describe a situation where you had to adapt to a significant change.,"They changed the software we use and I had to get used to it.",1
Behavioral,Describe a situation where you had to adapt to a significant change.,"I hate change.",0
Technical,What is a virtual environment in Python?,"A virtual environment is a self-contained directory tree that contains a Python installation for a particular version of Python, plus a number of additional packages. It allows you to manage dependencies for different projects separately, avoiding version conflicts.",2
Technical,What is a virtual environment in Python?,"It is a place to run code safely.",1
Technical,What is a virtual environment in Python?,"It is a video game.",0
HR,How do you define success?,"I define success as delivering high-quality work that brings value to the end-user while maintaining a healthy team dynamic. If the client is happy and my team grew from the experience, that is a success to me.",2
HR,How do you define success?,"Success is finishing the project.",1
HR,How do you define success?,"Making lots of money.",0
Technical,What is the DOM?,"The DOM (Document Object Model) is a programming interface for web documents. It represents the page so that programs can change the document structure, style, and content. The DOM represents the document as nodes and objects.",2
Technical,What is the DOM?,"It stands for Document Object Model.",1
Technical,What is the DOM?,"It is the dominant code.",0
